<--서울특별시 공사현황 주소-->
"서울특별시 서초구 서초동 1467-10 서초구 서초동 1467-10,11"
서울특별시 서초구 서초동 1553-17
서울특별시 강남구 청담동 132-16
서울특별시 동대문구 장안동 465-4
서울특별시 서초구 서초동 1596-9
서울특별시 성북구 길음동 1284 길음뉴타운8단지 아파트 내
서울특별시 성북구 길음동 1278 길음동부센트레빌 아파트
서울특별시 성동구 용답동 238-6
"서울특별시 성동구 용답동 231 , 231-1"
서울특별시 중구 입정동 189-1
서울특별시 도봉구 도봉동 63
서울특별시 관악구 신림동 75-6
서울특별시 관악구 신림동 75-6
서울특별시 동대문구 전농동 620-51
서울특별시 동대문구 전농동 620-51
서울특별시 광진구 화양동 18-12
서울특별시 서대문구 창천동 20-81
서울특별시 강동구 천호동 423-200 번지 일대
서울특별시 강동구 천호동 423-300
서울특별시 강동구 천호동 423-200
서울특별시 강동구 천호동 358-14
서울특별시 강동구 천호동 410-100
서울특별시 강남구 청담동 134-21
"서울특별시 강남구 논현동 60 외 3필지(60-1,2,3)"
서울특별시 금천구 가산동 60-14
서울특별시 양천구 신월동 489-3 일원
서울특별시 송파구 거여동 605-3
서울특별시 중구 광희동2가 37
서울특별시 강남구 도곡동 893-1 외 5필지
서울특별시 은평구 역촌동 189-1
서울특별시 광진구 자양동 658-14 외 4필지
서울특별시 금천구 가산동 319 우림라이온스밸리 A동 1501호
서울특별시 강서구 공항동 796
서울특별시 강서구 공항동 18 공항동 일대
서울특별시 노원구 상계동 1 자력 6구역 8블럭 9롯트 일대
서울특별시 노원구 상계동 95-3
서울특별시 노원구 상계동 95-3
서울특별시 중랑구 상봉동 109-28
서울특별시 용산구 갈월동 7-50 KCC IT빌딩 6층
"서울특별시 용산구 갈월동 7-50 3, KCC IT타워 6층"
서울특별시 강서구 마곡동 800-19
서울특별시 동대문구 장안동 366-7
서울특별시 관악구 신림동 494
서울특별시 광진구 자양동 236 일원
서울특별시 영등포구 양평동1가 104-1
서울특별시 용산구 원효로1가 46-5 외 7필지
서울특별시 용산구 한남동 76-6
서울특별시 종로구 숭인동 1399 외 2필지
서울특별시 송파구 신천동 20-4
서울특별시 송파구 신천동 20-4
서울특별시 성북구 장위동 68-37
서울특별시 성북구 장위동 25-55
"서울특별시 영등포구 신길동 173-6,171-22 번지"
서울특별시 용산구 한남동 686
서울특별시 용산구 한남동 810
서울특별시 서초구 반포동 10 19
서울특별시 마포구 아현동 662
서울특별시 마포구 아현동 666-2
서울특별시 관악구 봉천동 37-83
서울특별시 서초구 서초동 1321-7 외 1필지
서울특별시 중구 명동1가 54-8 개양빌딩
서울특별시 송파구 거여동 산38 위례택지개발지구 일상5-2-2BL
서울특별시 강남구 역삼동 831-7
서울특별시 성동구 성수동1가 656-1033
서울특별시 양천구 신월동 981-2 외 2필지
서울특별시 동대문구 이문동 257-42 일원
서울특별시 강동구 성내동 87-1
서울특별시 서초구 잠원동 60-3
서울특별시 서초구 잠원동 52-2
"서울특별시 서초구 잠원동 74, 신반포14차아파트"
서울특별시 서초구 반포동 12번지 일대
서울특별시 서초구 반포동 1-8 일대
서울특별시 서초구 반포동 1-1
서울특별시 노원구 공릉동 00
서울특별시 은평구 수색동 341-6
서울특별시 은평구 수색동 115-5 일대
서울특별시 은평구 수색동 412 412번지 일대
서울특별시 은평구 수색동 189 일원
서울특별시 강동구 고덕동 98-6
서울특별시 중랑구 신내동 488
